"blueprint","item_name","item_key","category","process","tier","craftTimeSec","slot","resource","scu","minQuality","quantityMultiplier","modifierCount","optional"
"BP_CRAFT_APAR_BallisticScatterGun_S2","Hellion Scattergun","apar_ballisticscattergun_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Frame","Torite","0.64","1",,"1","False"
"BP_CRAFT_APAR_BallisticScatterGun_S3","Predator Scattergun","apar_ballisticscattergun_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Anchor Pins","Stileron","0.17","1",,"1","False"
"BP_CRAFT_APAR_BallisticScatterGun_S3","Predator Scattergun","apar_ballisticscattergun_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Barrel","Titanium","0.58","1",,"1","False"
"BP_CRAFT_APAR_BallisticScatterGun_S3","Predator Scattergun","apar_ballisticscattergun_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Frame","Torite","1.16","1",,"1","False"
"BP_CRAFT_APAR_MassDriver_S2","Strife Mass Driver Cannon","apar_massdriver_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Frame","Titanium","0.64","1",,"1","False"
"BP_CRAFT_APAR_MassDriver_S2","Strife Mass Driver Cannon","apar_massdriver_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Wiring","Copper","0.26","1",,"1","False"
"BP_CRAFT_ASAD_DistortionRepeater_S1","DR Model-XJ1 Repeater","asad_distortionrepeater_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Radiator","Torite","0.18","1",,"1","False"
"BP_CRAFT_ASAD_DistortionRepeater_S1","DR Model-XJ1 Repeater","asad_distortionrepeater_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Reinforced Frame","Tungsten","0.36","1",,"1","False"
"BP_CRAFT_ASAD_DistortionRepeater_S2","DR Model-XJ2 Repeater","asad_distortionrepeater_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Radiator","Torite","0.32","1",,"1","False"
"BP_CRAFT_ASAD_DistortionRepeater_S2","DR Model-XJ2 Repeater","asad_distortionrepeater_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Reinforced Frame","Tungsten","0.64","1",,"1","False"
"BP_CRAFT_ASAD_DistortionRepeater_S3","DR Model-XJ3 Repeater","asad_distortionrepeater_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Radiator","Torite","0.58","1",,"1","False"
"BP_CRAFT_ASAD_DistortionRepeater_S3","DR Model-XJ3 Repeater","asad_distortionrepeater_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Reinforced Frame","Tungsten","1.16","1",,"1","False"
"BP_CRAFT_BANU_TachyonCannon_S1","Singe Cannon (S1)","banu_tachyoncannon_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Acceleration Unit","Quantanium","0.07","1",,"1","False"
"BP_CRAFT_BANU_TachyonCannon_S1","Singe Cannon (S1)","banu_tachyoncannon_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Frame","Tungsten","0.36","1",,"1","False"
"BP_CRAFT_BANU_TachyonCannon_S1","Singe Cannon (S1)","banu_tachyoncannon_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Wiring","Copper","0.14","1",,"1","False"
"BP_CRAFT_BANU_TachyonCannon_S2","Singe Cannon (S2)","banu_tachyoncannon_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Acceleration Unit","Quantanium","0.13","1",,"1","False"
"BP_CRAFT_BANU_TachyonCannon_S2","Singe Cannon (S2)","banu_tachyoncannon_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Frame","Tungsten","0.64","1",,"1","False"
"BP_CRAFT_BANU_TachyonCannon_S2","Singe Cannon (S2)","banu_tachyoncannon_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Wiring","Copper","0.26","1",,"1","False"
"BP_CRAFT_BANU_TachyonCannon_S3","Singe Cannon (S3)","banu_tachyoncannon_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Acceleration Unit","Quantanium","0.23","1",,"1","False"
"BP_CRAFT_BANU_TachyonCannon_S3","Singe Cannon (S3)","banu_tachyoncannon_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Frame","Tungsten","1.16","1",,"1","False"
"BP_CRAFT_BANU_TachyonCannon_S3","Singe Cannon (S3)","banu_tachyoncannon_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Wiring","Copper","0.46","1",,"1","False"
"BP_CRAFT_BEHR_BallisticCannon_S4","C-788 Cannon","behr_ballisticcannon_s4","VehicleWeaponsS4","CraftingProcess_Creation","0","2940","Barrel","Titanium","1.04","1",,"1","False"
"BP_CRAFT_BEHR_BallisticCannon_S4","C-788 Cannon","behr_ballisticcannon_s4","VehicleWeaponsS4","CraftingProcess_Creation","0","2940","Cycler","Riccite","0.31","1",,"1","False"
"BP_CRAFT_BEHR_BallisticCannon_S4","C-788 Cannon","behr_ballisticcannon_s4","VehicleWeaponsS4","CraftingProcess_Creation","0","2940","Frame","Iron","2.08","1",,"1","False"
"BP_CRAFT_BEHR_BallisticCannon_VNG_S2","CVSA Cannon","behr_ballisticcannon_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Barrel","Titanium","0.32","1",,"1","False"
"BP_CRAFT_BEHR_BallisticCannon_VNG_S2","CVSA Cannon","behr_ballisticcannon_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Cycler","Riccite","0.09","1",,"1","False"
"BP_CRAFT_BEHR_BallisticCannon_VNG_S2","CVSA Cannon","behr_ballisticcannon_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Frame","Iron","0.64","1",,"1","False"
"BP_CRAFT_BEHR_BallisticGatling_S4","AD4B Ballistic Gatling","behr_ballisticgatling_s4","VehicleWeaponsS4","CraftingProcess_Creation","0","2940","Barrels","Tungsten","1.25","1",,"1","False"
"BP_CRAFT_BEHR_BallisticGatling_S4","AD4B Ballistic Gatling","behr_ballisticgatling_s4","VehicleWeaponsS4","CraftingProcess_Creation","0","2940","Drive Motor","Ouratite","0.21","1",,"1","False"
"BP_CRAFT_BEHR_BallisticGatling_S4","AD4B Ballistic Gatling","behr_ballisticgatling_s4","VehicleWeaponsS4","CraftingProcess_Creation","0","2940","Frame","Iron","2.08","1",,"1","False"
"BP_CRAFT_BEHR_BallisticGatling_S5","AD5B Ballistic Gatling","behr_ballisticgatling_s5","VehicleWeaponsS5","CraftingProcess_Creation","0","5190","Barrels","Tungsten","2.24","1",,"1","False"
"BP_CRAFT_BEHR_BallisticGatling_S5","AD5B Ballistic Gatling","behr_ballisticgatling_s5","VehicleWeaponsS5","CraftingProcess_Creation","0","5190","Drive Motor","Ouratite","0.37","1",,"1","False"
"BP_CRAFT_BEHR_BallisticGatling_S5","AD5B Ballistic Gatling","behr_ballisticgatling_s5","VehicleWeaponsS5","CraftingProcess_Creation","0","5190","Frame","Iron","3.74","1",,"1","False"
"BP_CRAFT_BEHR_BallisticGatling_S6","AD6B Ballistic Gatling","behr_ballisticgatling_s6","VehicleWeaponsS6","CraftingProcess_Creation","0","9060","Barrels","Tungsten","4","1",,"1","False"
"BP_CRAFT_BEHR_BallisticGatling_S6","AD6B Ballistic Gatling","behr_ballisticgatling_s6","VehicleWeaponsS6","CraftingProcess_Creation","0","9060","Drive Motor","Ouratite","0.67","1",,"1","False"
"BP_CRAFT_BEHR_BallisticGatling_S6","AD6B Ballistic Gatling","behr_ballisticgatling_s6","VehicleWeaponsS6","CraftingProcess_Creation","0","9060","Frame","Iron","6.74","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_S1","SW16BR1 “Buzzsaw” Repeater","behr_ballisticrepeater_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Barrel","Titanium","0.18","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_S1","SW16BR1 “Buzzsaw” Repeater","behr_ballisticrepeater_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Cycler","Riccite","0.05","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_S1","SW16BR1 “Buzzsaw” Repeater","behr_ballisticrepeater_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Reinforced Frame","Borase","0.36","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_S2","SW16BR2 “Sawbuck” Repeater","behr_ballisticrepeater_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Barrel","Titanium","0.32","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_S2","SW16BR2 “Sawbuck” Repeater","behr_ballisticrepeater_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Cycler","Riccite","0.1","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_S2","SW16BR2 “Sawbuck” Repeater","behr_ballisticrepeater_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Reinforced Frame","Borase","0.64","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_S3","SW16BR3 “Shredder” Repeater","behr_ballisticrepeater_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Barrel","Titanium","0.58","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_S3","SW16BR3 “Shredder” Repeater","behr_ballisticrepeater_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Cycler","Riccite","0.17","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_S3","SW16BR3 “Shredder” Repeater","behr_ballisticrepeater_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Reinforced Frame","Borase","1.16","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_VNG_S2","BRVS Repeater","behr_ballisticrepeater_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Barrel","Titanium","0.32","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_VNG_S2","BRVS Repeater","behr_ballisticrepeater_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Cycler","Riccite","0.1","1",,"1","False"
"BP_CRAFT_BEHR_BallisticRepeater_VNG_S2","BRVS Repeater","behr_ballisticrepeater_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Reinforced Frame","Borase","0.64","1",,"1","False"
"BP_CRAFT_BEHR_DistortionCannon_VNG_S2","EVSD Cannon","behr_distortioncannon_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Electronics","Gold","0.22","1",,"1","False"
"BP_CRAFT_BEHR_DistortionCannon_VNG_S2","EVSD Cannon","behr_distortioncannon_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Frame","Tungsten","0.64","1",,"1","False"
"BP_CRAFT_BEHR_DistortionRepeater_VNG_S2","ATVS Repeater","behr_distortionrepeater_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Radiator","Torite","0.32","1",,"1","False"
"BP_CRAFT_BEHR_DistortionRepeater_VNG_S2","ATVS Repeater","behr_distortionrepeater_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Reinforced Frame","Tungsten","0.64","1",,"1","False"
"BP_CRAFT_BEHR_LaserCannon_S1","M3A Cannon","behr_lasercannon_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Frame","Agricium","0.36","1",,"1","False"
"BP_CRAFT_BEHR_LaserCannon_S2","M4A Cannon","behr_lasercannon_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Frame","Agricium","0.64","1",,"1","False"
"BP_CRAFT_BEHR_LaserCannon_S3","M5A Cannon","behr_lasercannon_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Frame","Agricium","1.16","1",,"1","False"
"BP_CRAFT_BEHR_LaserCannon_S4","M6A Cannon","behr_lasercannon_s4","VehicleWeaponsS4","CraftingProcess_Creation","0","2940","Frame","Agricium","2.08","1",,"1","False"
"BP_CRAFT_BEHR_LaserCannon_S5","M7A Cannon","behr_lasercannon_s5","VehicleWeaponsS5","CraftingProcess_Creation","0","5160","Frame","Agricium","3.74","1",,"1","False"
"BP_CRAFT_BEHR_LaserCannon_S6","M8A Cannon","behr_lasercannon_s6","VehicleWeaponsS6","CraftingProcess_Creation","0","9060","Frame","Agricium","6.74","1",,"1","False"
"BP_CRAFT_BEHR_LaserCannon_VNG_S2","MVSA Cannon ","behr_lasercannon_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Frame","Agricium","0.64","1",,"1","False"
"BP_CRAFT_BEHR_LaserRepeater_VNG_S2","GVSR Repeater","behr_laserrepeater_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Reinforced Frame","Agricium","0.64","1",,"1","False"
"BP_CRAFT_BEHR_LaserRepeater_VNG_S2","GVSR Repeater","behr_laserrepeater_vng_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Thermal Sink","Pressurized_Ice","0.26","1",,"1","False"
"BP_CRAFT_behr_lmg_ballistic_01","FS-9 LMG","behr_lmg_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","240","Barrel","Iron","0.03","0",,"2","False"
"BP_CRAFT_behr_lmg_ballistic_01","FS-9 LMG","behr_lmg_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","240","Frame","Lindinium","0.06","0",,"3","False"
"BP_CRAFT_behr_lmg_ballistic_01","FS-9 LMG","behr_lmg_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","240","Stock","Hephaestanite","0.04","0",,"3","False"
"BP_CRAFT_behr_lmg_ballistic_01_mag","FS-9 Magazine (75 cap)","behr_lmg_ballistic_01_mag","FPSWeapons","CraftingProcess_Creation","0","10","Core","Iron","0.03","0",,"0","False"
"BP_CRAFT_behr_lmg_ballistic_01_mag","FS-9 Magazine (75 cap)","behr_lmg_ballistic_01_mag","FPSWeapons","CraftingProcess_Creation","0","10","Magazine","Hephaestanite","0.03","0",,"0","False"
"BP_CRAFT_behr_lmg_ballistic_01_tint01","FS-9 ""Blacklist"" LMG","behr_lmg_ballistic_01_tint01","FPSWeapons","CraftingProcess_Creation","0","240","Barrel","Iron","0.03","0",,"2","False"
"BP_CRAFT_behr_lmg_ballistic_01_tint01","FS-9 ""Blacklist"" LMG","behr_lmg_ballistic_01_tint01","FPSWeapons","CraftingProcess_Creation","0","240","Frame","Lindinium","0.06","0",,"3","False"
"BP_CRAFT_behr_lmg_ballistic_01_tint01","FS-9 ""Blacklist"" LMG","behr_lmg_ballistic_01_tint01","FPSWeapons","CraftingProcess_Creation","0","240","Stock","Hephaestanite","0.04","0",,"3","False"
"BP_CRAFT_behr_lmg_ballistic_01_xenothreat01","FS-9 ""Stoneface"" LMG","behr_lmg_ballistic_01_xenothreat01","FPSWeapons","CraftingProcess_Creation","0","240","Barrel","Iron","0.03","0",,"2","False"
"BP_CRAFT_behr_lmg_ballistic_01_xenothreat01","FS-9 ""Stoneface"" LMG","behr_lmg_ballistic_01_xenothreat01","FPSWeapons","CraftingProcess_Creation","0","240","Frame","Lindinium","0.06","0",,"3","False"
"BP_CRAFT_behr_lmg_ballistic_01_xenothreat01","FS-9 ""Stoneface"" LMG","behr_lmg_ballistic_01_xenothreat01","FPSWeapons","CraftingProcess_Creation","0","240","Stock","Hephaestanite","0.04","0",,"3","False"
"BP_CRAFT_behr_lmg_ballistic_01_yellow_grey01","FS-9 ""Finish Line"" LMG","behr_lmg_ballistic_01_yellow_grey01","FPSWeapons","CraftingProcess_Creation","0","240","Barrel","Iron","0.03","0",,"2","False"
"BP_CRAFT_behr_lmg_ballistic_01_yellow_grey01","FS-9 ""Finish Line"" LMG","behr_lmg_ballistic_01_yellow_grey01","FPSWeapons","CraftingProcess_Creation","0","240","Frame","Lindinium","0.06","0",,"3","False"
"BP_CRAFT_behr_lmg_ballistic_01_yellow_grey01","FS-9 ""Finish Line"" LMG","behr_lmg_ballistic_01_yellow_grey01","FPSWeapons","CraftingProcess_Creation","0","240","Stock","Hephaestanite","0.04","0",,"3","False"
"BP_CRAFT_behr_pistol_ballistic_01","S-38 Pistol","behr_pistol_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","90","Barrel","Iron","0.01","0",,"2","False"
"BP_CRAFT_behr_pistol_ballistic_01","S-38 Pistol","behr_pistol_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","90","Frame","Aluminum","0.02","0",,"3","False"
"BP_CRAFT_behr_pistol_ballistic_01","S-38 Pistol","behr_pistol_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","90","Grip","Hephaestanite","0.01","0",,"3","False"
"BP_CRAFT_behr_pistol_ballistic_01_firerats01","S-38 ""Scorched"" Pistol","behr_pistol_ballistic_01_firerats01","FPSWeapons","CraftingProcess_Creation","0","90","Barrel","Iron","0.01","0",,"2","False"
"BP_CRAFT_behr_pistol_ballistic_01_firerats01","S-38 ""Scorched"" Pistol","behr_pistol_ballistic_01_firerats01","FPSWeapons","CraftingProcess_Creation","0","90","Frame","Aluminum","0.02","0",,"3","False"
"BP_CRAFT_behr_pistol_ballistic_01_firerats01","S-38 ""Scorched"" Pistol","behr_pistol_ballistic_01_firerats01","FPSWeapons","CraftingProcess_Creation","0","90","Grip","Hephaestanite","0.01","0",,"3","False"
"BP_CRAFT_behr_pistol_ballistic_01_mag","S-38 Magazine (20 cap)","behr_pistol_ballistic_01_mag","FPSWeapons","CraftingProcess_Creation","0","10","Core","Torite","0.01","0",,"0","False"
"BP_CRAFT_behr_pistol_ballistic_01_mag","S-38 Magazine (20 cap)","behr_pistol_ballistic_01_mag","FPSWeapons","CraftingProcess_Creation","0","10","Magazine","Hephaestanite","0.01","0",,"0","False"
"BP_CRAFT_behr_rifle_ballistic_01","P4-AR Rifle","behr_rifle_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","150","Barrel","Iron","0.02","0",,"2","False"
"BP_CRAFT_behr_rifle_ballistic_01","P4-AR Rifle","behr_rifle_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","150","Frame","Aluminum","0.04","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_01","P4-AR Rifle","behr_rifle_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","150","Stock","Hephaestanite","0.02","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_01_black02","P4-AR ""Nightstalker"" Rifle","behr_rifle_ballistic_01_black02","FPSWeapons","CraftingProcess_Creation","0","150","Barrel","Iron","0.02","0",,"2","False"
"BP_CRAFT_behr_rifle_ballistic_01_black02","P4-AR ""Nightstalker"" Rifle","behr_rifle_ballistic_01_black02","FPSWeapons","CraftingProcess_Creation","0","150","Frame","Aluminum","0.04","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_01_black02","P4-AR ""Nightstalker"" Rifle","behr_rifle_ballistic_01_black02","FPSWeapons","CraftingProcess_Creation","0","150","Stock","Hephaestanite","0.02","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_01_green01","P4-AR ""Warhawk"" Rifle","behr_rifle_ballistic_01_green01","FPSWeapons","CraftingProcess_Creation","0","150","Barrel","Iron","0.02","0",,"2","False"
"BP_CRAFT_behr_rifle_ballistic_01_green01","P4-AR ""Warhawk"" Rifle","behr_rifle_ballistic_01_green01","FPSWeapons","CraftingProcess_Creation","0","150","Frame","Aluminum","0.04","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_01_green01","P4-AR ""Warhawk"" Rifle","behr_rifle_ballistic_01_green01","FPSWeapons","CraftingProcess_Creation","0","150","Stock","Hephaestanite","0.02","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_01_mag","P4-AR Magazine (40 cap)","behr_rifle_ballistic_01_mag","FPSWeapons","CraftingProcess_Creation","0","10","Core","Iron","0.02","0",,"0","False"
"BP_CRAFT_behr_rifle_ballistic_01_mag","P4-AR Magazine (40 cap)","behr_rifle_ballistic_01_mag","FPSWeapons","CraftingProcess_Creation","0","10","Magazine","Hephaestanite","0.02","0",,"0","False"
"BP_CRAFT_behr_rifle_ballistic_01_tan01","P4-AR ""Desert Shadow"" Rifle","behr_rifle_ballistic_01_tan01","FPSWeapons","CraftingProcess_Creation","0","150","Barrel","Iron","0.02","0",,"2","False"
"BP_CRAFT_behr_rifle_ballistic_01_tan01","P4-AR ""Desert Shadow"" Rifle","behr_rifle_ballistic_01_tan01","FPSWeapons","CraftingProcess_Creation","0","150","Frame","Aluminum","0.04","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_01_tan01","P4-AR ""Desert Shadow"" Rifle","behr_rifle_ballistic_01_tan01","FPSWeapons","CraftingProcess_Creation","0","150","Stock","Hephaestanite","0.02","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_01_tint01","P4-AR ""Blacklist"" Rifle","behr_rifle_ballistic_01_tint01","FPSWeapons","CraftingProcess_Creation","0","150","Barrel","Iron","0.02","0",,"2","False"
"BP_CRAFT_behr_rifle_ballistic_01_tint01","P4-AR ""Blacklist"" Rifle","behr_rifle_ballistic_01_tint01","FPSWeapons","CraftingProcess_Creation","0","150","Frame","Aluminum","0.04","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_01_tint01","P4-AR ""Blacklist"" Rifle","behr_rifle_ballistic_01_tint01","FPSWeapons","CraftingProcess_Creation","0","150","Stock","Hephaestanite","0.02","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_02_civilian","P8-AR Rifle","behr_rifle_ballistic_02_civilian","FPSWeapons","CraftingProcess_Creation","0","180","Barrel","Iron","0.02","0",,"2","False"
"BP_CRAFT_behr_rifle_ballistic_02_civilian","P8-AR Rifle","behr_rifle_ballistic_02_civilian","FPSWeapons","CraftingProcess_Creation","0","180","Frame","Stileron","0.04","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_02_civilian","P8-AR Rifle","behr_rifle_ballistic_02_civilian","FPSWeapons","CraftingProcess_Creation","0","180","Stock","Hephaestanite","0.02","0",,"3","False"
"BP_CRAFT_behr_rifle_ballistic_02_mag_civilian","P8-AR Rifle Magazine (15 Cap)","behr_rifle_ballistic_02_mag_civilian","FPSWeapons","CraftingProcess_Creation","0","10","Core","Tungsten","0.02","0",,"0","False"
"BP_CRAFT_behr_rifle_ballistic_02_mag_civilian","P8-AR Rifle Magazine (15 Cap)","behr_rifle_ballistic_02_mag_civilian","FPSWeapons","CraftingProcess_Creation","0","10","Magazine","Hephaestanite","0.02","0",,"0","False"
"BP_CRAFT_behr_shotgun_ballistic_01","BR-2 Shotgun","behr_shotgun_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","150","Barrel","Iron","0.02","0",,"2","False"
"BP_CRAFT_behr_shotgun_ballistic_01","BR-2 Shotgun","behr_shotgun_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","150","Frame","Torite","0.04","0",,"3","False"
"BP_CRAFT_behr_shotgun_ballistic_01","BR-2 Shotgun","behr_shotgun_ballistic_01","FPSWeapons","CraftingProcess_Creation","0","150","Stock","Hephaestanite","0.02","0",,"3","False"
"BP_CRAFT_behr_shotgun_ballistic_01_blue_white01","BR-2 ""Permafrost"" Shotgun","behr_shotgun_ballistic_01_blue_white01","FPSWeapons","CraftingProcess_Creation","0","150","Barrel","Iron","0.02","0",,"2","False"
"BP_CRAFT_behr_shotgun_ballistic_01_blue_white01","BR-2 ""Permafrost"" Shotgun","behr_shotgun_ballistic_01_blue_white01","FPSWeapons","CraftingProcess_Creation","0","150","Frame","Torite","0.04","0",,"3","False"
